unnamed: 0,make,model,variant,ex-showroom_price,displacement,cylinders,valves_per_cylinder,drivetrain,cylinder_configuration,emission_norm,engine_location,fuel_system,fuel_tank_capacity,fuel_type,height,length,width,body_type,doors,city_mileage,highway_mileage,arai_certified_mileage,kerb_weight,gears,ground_clearance,front_brakes,rear_brakes,front_suspension,rear_suspension,front_track,rear_track,front_tyre_&_rim,rear_tyre_&_rim,power_steering,power_windows,power_seats,keyless_entry,power,torque,odometer,speedometer,tachometer,tripmeter,seating_capacity,seats_material,type,wheelbase,wheels_size,start_/_stop_button,12v_power_outlet,audiosystem,aux-in_compatibility,average_fuel_consumption,basic_warranty,bluetooth,boot-lid_opener,boot_space,cd_/_mp3_/_dvd_player,central_locking,child_safety_locks,clock,cup_holders,distance_to_empty,door_pockets,engine_malfunction_light,extended_warranty,fm_radio,fuel-lid_opener,fuel_gauge,handbrake,instrument_console,low_fuel_warning,minimum_turning_radius,multifunction_display,sun_visor,third_row_ac_vents,ventilation_system,auto-dimming_rear-view_mirror,hill_assist,gear_indicator,engine_immobilizer,seat_back_pockets,abs_(anti-lock_braking_system),headlight_reminder,adjustable_headrests,gross_vehicle_weight,airbags,door_ajar_warning,ebd_(electronic_brake-force_distribution),fasten_seat_belt_warning,gear_shift_reminder,number_of_airbags,adjustable_steering_column,parking_assistance,key_off_reminder,usb_compatibility,cigarette_lighter,infotainment_screen,multifunction_steering_wheel,average_speed,eba_(electronic_brake_assist),seat_height_adjustment,navigation_system,second_row_ac_vents,rear_center_armrest,ipod_compatibility,esp_(electronic_stability_program),cooled_glove_box,turbocharger,isofix_(child-seat_mount),rain_sensing_wipers,leather_wrapped_steering,automatic_headlamps,asr_/_traction_control,cruise_control
0.0,Tata,Nano Genx,Xt,292667.0,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 ,3164 ,1750 ,Hatchback,5.0,23.6 ,unknown,23.6 ,660 ,4,180 ,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 ,1315 ,135/70R12,155/65R12,Electric Power,Only Front Windows,unknown,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 ,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 ,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 ,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1.0,Tata,Nano Genx,Xe,236447.0,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 ,3164 ,1750 ,Hatchback,5.0,23.6 ,unknown,23.6 ,725 ,4,180 ,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 ,1315 ,135/70R12,155/65R12,unknown,unknown,unknown,unknown,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 ,4 B X 12,unknown,Yes,Not on offer,unknown,Yes,2 years /75000 Kms (years/distance whichever comes first),unknown,Internal,110 ,unknown,unknown,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),unknown,Internal,Digital,Manual,Analog + Digital,Yes,4 ,Yes,Driver & Front Passenger,Not Applicable,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2.0,Tata,Nano Genx,Emax Xm,296661.0,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15 litres,CNG,1652 ,3164 ,1750 ,Hatchback,4.0,unknown,unknown,unknown,710 ,4,180 ,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 ,1315 ,135/70R12,155/65R12,Electric Power,unknown,unknown,unknown,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 ,4 B X 12,unknown,Yes,Not on offer,unknown,Yes,2 years /75000 Kms (years/distance whichever comes first),unknown,Internal,110 ,unknown,unknown,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),unknown,Internal,Digital,Manual,Analog + Digital,Yes,4 ,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
3.0,Tata,Nano Genx,Xta,334768.0,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 ,3164 ,1750 ,Hatchback,5.0,23.6 ,unknown,21.9 ,725 ,5,180 ,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 ,1315 ,135/70R12,155/65R12,Electric Power,Only Front Windows,unknown,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230 ,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,94 ,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 ,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,unknown,unknown,Yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
4.0,Tata,Nano Genx,Xm,272223.0,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 ,3164 ,1750 ,Hatchback,5.0,23.6 ,unknown,23.6 ,725 ,4,180 ,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 ,1315 ,135/70R12,155/65R12,Electric Power,unknown,unknown,unknown,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 ,4 B X 12,unknown,Yes,Not on offer,unknown,Yes,2 years /75000 Kms (years/distance whichever comes first),unknown,Internal,110 ,unknown,unknown,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),unknown,Internal,Digital,Manual,Analog + Digital,Yes,4 ,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
5.0,Tata,Nano Genx,Xma,314815.0,624.0,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 ,3164 ,1750 ,Hatchback,5.0,23.6 ,unknown,21.9 ,710 ,5,180 ,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 ,1315 ,135/70R12,155/65R12,Electric Power,unknown,unknown,unknown,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230 ,4 B X 12,unknown,Yes,Not on offer,unknown,Yes,2 years /75000 Kms (years/distance whichever comes first),unknown,Internal,94 ,unknown,unknown,Yes,Digital,Not on offer,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),unknown,Internal,Digital,Manual,Analog + Digital,Yes,4 ,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,unknown,unknown,Yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6.0,Datsun,Redi-Go,D,279650.0,799.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 ,3429 ,1560 ,Hatchback,5.0,21.38 ,24 ,25.17 ,unknown,5,185 ,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,unknown,unknown,80/155R13,80/155R13,unknown,unknown,unknown,unknown,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 ,80/155R13,unknown,Yes,Not on offer,unknown,Yes,2 years / Unlimited Kms,unknown,Internal,222 ,unknown,unknown,Yes,unknown,Not on offer,Yes,unknown,Yes,2 Years/Unlimited Kms (Whichever comes earlier),unknown,Internal,Digital,Manual,Analog + Digital,Yes,4.7 ,Yes,Driver & Front Passenger,Not Applicable,Yes,unknown,unknown,unknown,Yes,unknown,Yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
7.0,Datsun,Redi-Go,T,351832.0,799.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 ,3429 ,1560 ,Hatchback,5.0,21.38 ,24 ,25.17 ,unknown,5,185 ,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,unknown,unknown,80/155R13,80/155R13,Electric Power,Only Front Windows,unknown,unknown,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 ,80/155R13,unknown,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,unknown,Internal,222 ,Yes,Yes,Yes,unknown,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 ,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,unknown,unknown,unknown,Yes,unknown,unknown,Yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
8.0,Datsun,Redi-Go,A,333419.0,799.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 ,3429 ,1560 ,Hatchback,5.0,21.38 ,24 ,25.17 ,unknown,5,185 ,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,unknown,unknown,80/155R13,80/155R13,Electric Power,unknown,unknown,unknown,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 ,80/155R13,unknown,Yes,Not on offer,unknown,Yes,2 years / Unlimited Kms,unknown,Internal,222 ,unknown,unknown,Yes,unknown,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),unknown,Internal,Digital,Manual,Analog + Digital,Yes,4.7 ,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,unknown,unknown,unknown,Yes,unknown,unknown,Yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
9.0,Datsun,Redi-Go,S,362000.0,799.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 ,3429 ,1560 ,Hatchback,5.0,21.38 ,24 ,25.17 ,unknown,5,185 ,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,unknown,unknown,80/155R13,80/155R13,Electric Power,unknown,unknown,unknown,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 ,80/155R13,unknown,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,unknown,"With Remote, Internal",222 ,Yes,unknown,Yes,unknown,Not on offer,Yes,unknown,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 ,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,unknown,unknown,unknown,Yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Rear sensors,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
